climb conf:0.95 carry/hold:0.174 stand:0.152 touch:0.144 walk:0.138 watch:0.076 talk:0.035 bend/bow:0.031 listen:0.03 run/jog:0.018 climb:0.016 open:0.016 close:0.014 get:0.013 sit:0.009 grab:0.008
climb conf:0.97 carry/hold:0.21 walk:0.15 stand:0.148 touch:0.11 watch:0.053 bend/bow:0.047 close:0.046 open:0.045 push:0.023 lift/pick:0.016 listen:0.015 sit:0.013 talk:0.013 put:0.012 pull:0.012
climb conf:0.84 touch:0.195 walk:0.162 carry/hold:0.159 stand:0.132 watch:0.062 talk:0.053 sit:0.04 bend/bow:0.037 run/jog:0.034 open:0.022 lie/sleep:0.017 listen:0.016 answer:0.012 read:0.008 watch:0.007
climb conf:0.96 stand:0.239 touch:0.202 carry/hold:0.179 watch:0.075 walk:0.068 bend/bow:0.048 listen:0.028 talk:0.026 climb:0.014 close:0.013 open:0.012 answer:0.007 sit:0.007 lie/sleep:0.006 get:0.005
climb conf:0.97 walk:0.468 carry/hold:0.176 touch:0.098 stand:0.075 watch:0.048 run/jog:0.032 bend/bow:0.015 listen:0.012 climb:0.011 talk:0.01 push:0.006 open:0.006 get:0.006 sit:0.005 close:0.004
climb conf:0.97 stand:0.291 carry/hold:0.258 touch:0.154 watch:0.08 walk:0.058 talk:0.042 bend/bow:0.027 open:0.017 listen:0.015 close:0.01 put:0.004 lift/pick:0.004 push:0.003 climb:0.003 answer:0.002
climb conf:0.67 carry/hold:0.312 stand:0.31 touch:0.109 watch:0.08 walk:0.044 talk:0.032 bend/bow:0.028 open:0.018 close:0.013 listen:0.011 put:0.004 lift/pick:0.004 climb:0.003 pull:0.003 push:0.003
climb conf:0.94 touch:0.204 carry/hold:0.169 stand:0.161 walk:0.145 open:0.059 watch:0.037 dance:0.036 close:0.031 run/jog:0.028 talk:0.022 climb:0.013 pull:0.008 bend/bow:0.007 grab:0.006 listen:0.006
climb conf:0.94 stand:0.318 carry/hold:0.159 watch:0.131 talk:0.08 walk:0.061 touch:0.052 listen:0.028 bend/bow:0.024 get:0.014 close:0.01 run/jog:0.009 open:0.009 sit:0.008 throw:0.006 martial:0.006
climb conf:0.97 walk:0.366 carry/hold:0.182 stand:0.124 touch:0.112 push:0.042 watch:0.035 open:0.023 bend/bow:0.018 close:0.017 run/jog:0.009 listen:0.009 lift/pick:0.008 talk:0.007 pull:0.007 climb:0.006
climb conf:0.97 walk:0.533 carry/hold:0.24 stand:0.081 touch:0.049 watch:0.039 talk:0.015 listen:0.011 push:0.006 open:0.005 close:0.004 bend/bow:0.002 run/jog:0.002 enter:0.002 pull:0.001 lift/pick:0.001
climb conf:0.9 run/jog:0.271 carry/hold:0.176 walk:0.135 watch:0.099 touch:0.069 talk:0.056 sit:0.039 stand:0.032 listen:0.026 jump/leap:0.023 bend/bow:0.011 climb:0.009 get:0.007 lie/sleep:0.007 fall:0.006
climb conf:0.97 walk:0.546 carry/hold:0.158 stand:0.096 touch:0.069 watch:0.042 talk:0.016 open:0.014 listen:0.011 close:0.009 push:0.007 bend/bow:0.003 sit:0.003 enter:0.003 pull:0.002 answer:0.002
climb conf:0.97 walk:0.501 carry/hold:0.213 stand:0.094 watch:0.054 touch:0.041 listen:0.02 talk:0.019 bend/bow:0.012 push:0.008 open:0.006 run/jog:0.005 close:0.004 lift/pick:0.003 sit:0.002 get:0.002
climb conf:0.94 stand:0.402 touch:0.166 watch:0.153 walk:0.105 talk:0.052 listen:0.05 carry/hold:0.047 bend/bow:0.005 close:0.003 open:0.002 get:0.002 sit:0.002 put:0.001 drink:0.001 lift/pick:0.001
climb conf:0.79 walk:0.507 carry/hold:0.264 watch:0.052 stand:0.052 talk:0.026 touch:0.022 listen:0.019 open:0.004 answer:0.004 sit:0.004 dance:0.004 run/jog:0.004 close:0.003 pull:0.003 drink:0.003
climb conf:0.93 walk:0.56 carry/hold:0.235 watch:0.047 stand:0.036 talk:0.021 touch:0.019 listen:0.017 dance:0.007 run/jog:0.005 open:0.005 pull:0.004 close:0.004 sit:0.004 answer:0.004 climb:0.003
climb conf:0.94 touch:0.173 carry/hold:0.152 walk:0.151 watch:0.104 stand:0.081 run/jog:0.066 talk:0.066 listen:0.038 bend/bow:0.035 get:0.019 sit:0.018 jump/leap:0.012 climb:0.01 open:0.007 fall:0.005
climb conf:0.97 walk:0.623 touch:0.13 carry/hold:0.126 watch:0.031 stand:0.03 listen:0.013 talk:0.011 climb:0.004 bend/bow:0.004 run/jog:0.003 push:0.003 open:0.003 sit:0.002 enter:0.002 lie/sleep:0.002
climb conf:0.97 walk:0.198 carry/hold:0.17 stand:0.096 watch:0.083 touch:0.079 talk:0.059 get:0.058 bend/bow:0.051 run/jog:0.036 listen:0.03 jump/leap:0.017 climb:0.013 sit:0.011 throw:0.006 fall:0.006
climb conf:0.97 walk:0.437 carry/hold:0.139 watch:0.079 touch:0.074 stand:0.053 talk:0.046 listen:0.03 run/jog:0.021 bend/bow:0.02 climb:0.014 sit:0.012 get:0.007 lie/sleep:0.007 crouch/kneel:0.004 jump/leap:0.004
climb conf:0.94 walk:0.448 carry/hold:0.134 watch:0.097 stand:0.071 run/jog:0.033 talk:0.032 touch:0.029 listen:0.022 bend/bow:0.012 sit:0.011 get:0.01 open:0.008 pull:0.008 climb:0.006 enter:0.006
climb conf:0.94 stand:0.337 carry/hold:0.258 walk:0.09 bend/bow:0.078 touch:0.077 watch:0.035 talk:0.023 sit:0.018 run/jog:0.011 crouch/kneel:0.011 climb:0.009 open:0.007 ride:0.006 lie/sleep:0.004 push:0.004
climb conf:0.96 carry/hold:0.315 stand:0.308 sit:0.079 watch:0.067 talk:0.056 crouch/kneel:0.037 touch:0.036 bend/bow:0.02 walk:0.016 listen:0.012 climb:0.005 eat:0.005 lie/sleep:0.003 smoke:0.003 lift/pick:0.002
climb conf:0.95 stand:0.266 carry/hold:0.158 watch:0.101 touch:0.083 bend/bow:0.064 sit:0.063 talk:0.045 listen:0.028 crouch/kneel:0.026 lie/sleep:0.017 climb:0.012 run/jog:0.01 jump/leap:0.01 walk:0.009 get:0.008
climb conf:0.95 bend/bow:0.285 carry/hold:0.169 stand:0.157 touch:0.101 watch:0.043 walk:0.042 climb:0.037 talk:0.015 sit:0.014 crouch/kneel:0.014 run/jog:0.014 open:0.013 listen:0.009 lift/pick:0.008 push:0.007
climb conf:0.94 stand:0.278 carry/hold:0.168 bend/bow:0.149 walk:0.102 touch:0.086 run/jog:0.044 open:0.022 watch:0.02 climb:0.014 shoot:0.013 push:0.012 ride:0.012 sit:0.01 hit:0.007 jump/leap:0.006
